ID,Code,,,,,,,,,,,,,
501," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1689," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1690," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
184," {""8"":""নহয়""}",,,,,,,,,,,,,
1815," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1810," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1811," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
187," {""8"":""(অনুসুচিত জাতি)""}",,,,,,,,,,,,,
188," {""8"":""(অনুসুচিত পাহাৰীয়া জাতি)""}",,,,,,,,,,,,,
189," {""8"":""অন্য পিছপৰা জাতি ""}",,,,,,,,,,,,,
191," {""8"":""সাধাৰণ""}",,,,,,,,,,,,,
1819," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
190," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1818," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
192," {""8"":""হিন্দু""}",,,,,,,,,,,,,
194," {""8"":""মুচলমান""}",,,,,,,,,,,,,
193," {""8"":""খ্ৰীষ্টিয়ান""}",,,,,,,,,,,,,
1573," {""8"":""বৌদ্ধ""}",,,,,,,,,,,,,
195," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1575," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
199," {""8"":""নহয়""}",,,,,,,,,,,,,
198," {""8"":""হয়""}",,,,,,,,,,,,,
1821," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1693," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1820," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1719," {""8"":""নহয়""}",,,,,,,,,,,,,
1718," {""8"":""হয়""}",,,,,,,,,,,,,
504," {""8"":""বাড়ি""}",,,,,,,,,,,,,
505," {""8"":""সরকারি হাসপাতাল""}",,,,,,,,,,,,,
506," {""8"":""প্রাইভেট হাসপাতাল""}",,,,,,,,,,,,,
507," {""8"":""পথে""}",,,,,,,,,,,,,
1827," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1823," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1825," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
203," {""8"":""নহয়""}",,,,,,,,,,,,,
1505," {""8"":""হয়""}",,,,,,,,,,,,,
1506," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
2402," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
2401," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1833," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1832," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1831," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
208," {""8"":""ଜାନୁଆରୀ""}",,,,,,,,,,,,,
1432," {""8"":""ফেব্রুৱাৰী""}",,,,,,,,,,,,,
1433," {""8"":""মার্চ""}",,,,,,,,,,,,,
1434," {""8"":""এপ্রিল""}",,,,,,,,,,,,,
1435," {""8"":""মে’""}",,,,,,,,,,,,,
1436," {""8"":""জুন""}",,,,,,,,,,,,,জানুৱাৰী
1437," {""8"":""জুলাই""}",,,,,,,,,,,,,
1438," {""8"":""অগষ্ট""}",,,,,,,,,,,,,
1439," {""8"":""ছেপ্তেম্বৰ""}",,,,,,,,,,,,,
1440," {""8"":""অক্টোবৰ""}",,,,,,,,,,,,,
1441," {""8"":""নবেম্বৰ""}",,,,,,,,,,,,,
1442," {""8"":""ডিচেম্বৰ""}",,,,,,,,,,,,,
1834," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1561," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1560," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
210," {""8"":""নহয়""}",,,,,,,,,,,,,
209," {""8"":""হয়""}",,,,,,,,,,,,,
1836," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1835," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1562," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1839," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1837," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1838," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
214," {""8"":""নহয়""}",,,,,,,,,,,,,
1842," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1840," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1841," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
217," {""8"":""নহয়""}",,,,,,,,,,,,,
216," {""8"":""হয়""}",,,,,,,,,,,,,
1845," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1843," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1844," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
219," {""8"":""নহয়""}",,,,,,,,,,,,,
218," {""8"":""হয়""}",,,,,,,,,,,,,
1848," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1846," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1847," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
220," {""8"":""নহয়""}",,,,,,,,,,,,,
1854," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1851," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1852," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1516," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1855," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1856," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
345," {""8"":""সাধাৰণ""}",,,,,,,,,,,,,
346," {""8"":""MAM""}",,,,,,,,,,,,,
347," {""8"":""SAM""}",,,,,,,,,,,,,
1788," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
324," {""8"":""নহয়""}",,,,,,,,,,,,,
323," {""8"":""হয়""}",,,,,,,,,,,,,
1791," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
326," {""8"":""নহয়""}",,,,,,,,,,,,,
1793," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1794," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
332," {""8"":""নহয়""}",,,,,,,,,,,,,
331," {""8"":""হয়""}",,,,,,,,,,,,,
1796," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1797," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
333," {""8"":""ঋতুকালিন শ্ৰ্মিক ""}",,,,,,,,,,,,,
335," {""8"":""দীর্ঘ দূৰত্ব""}",,,,,,,,,,,,,
339," {""8"":""অন্য""}",,,,,,,,,,,,,
2333," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
338," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1799," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
344," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1770," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1771," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1772," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
508," {""8"":""নহয়""}",,,,,,,,,,,,,
509," {""8"":""হয়, মাজে মাজে""}",,,,,,,,,,,,,
510," {""8"":""হয়, বোছিভাগ সময়""}",,,,,,,,,,,,,
1773," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1774," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
360," {""8"":""নহয়""}",,,,,,,,,,,,,
361," {""8"":""হয়, মাজে মাজে""}",,,,,,,,,,,,,
362," {""8"":""হয়, বোছিভাগ সময়""}",,,,,,,,,,,,,
1775," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1776," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
363," {""8"":""নহয়""}",,,,,,,,,,,,,
364," {""8"":""হয়, ঘৰুৱা কামত""}",,,,,,,,,,,,,
365," {""8"":""হয়, ঘৰৰ বাহিৰত পৰিয়ালৰ সৈতে""}",,,,,,,,,,,,,
366," {""8"":""হয়, ঘৰৰ বাহিৰত অকলে""}",,,,,,,,,,,,,
1777," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
