ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
113,Dec-17,South,Karnataka,Charted Accountant,Networks,Oct-17 - Feb-18,No Grant,Yes,"Madhya Pradesh,Assam,Bihar",Oct-17 - Feb-18,Not-Available,N,Y,Y,Y,Y,N,N/A
112,Dec-17,East,Manipur,New Partner Mahiti,Implementing,Dec-17 - Dec-17,No Grant,Yes,Rajasthan,Dec-17 - Dec-17,Not-Available,N,Y,Y,Y,N,N,N/A
111,Dec-17,South,Karnataka,Partner Mahiti,Implementing,Dec-17 - Dec-17,"24,000.00",Yes,Karnataka,Dec-17 - Dec-17,Not-Available,Y,N,Y,N,N,N,N/A
110,Nov-17,North,Madhya Pradesh,Srs Travels,Implementing,Nov-17 - Nov-17,"59,56,453.00",Yes,Telangana,Nov-17 - Nov-17,Available,Y,Y,Y,N,Y,N,remarks
109,Nov-17,North,Rajasthan,pradam_cron_try,Implementing,Nov-17 - Dec-18,"18,53,82,727.00",Yes,"Madhya Pradesh,Chhattisgarh,Maharashtra,Karnataka",Nov-17 - Dec-18,Not-Available,Y,Y,Y,Y,Y,N,N/A
108,Oct-17,West,Maharashtra,Habitat And Livelihood Welfare Association(HALWA),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
107,Oct-17,West,Gujarat,Sahyog Charitable Trust (SCT),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
106,Oct-17,West,Gujarat,Gramya Vikas Trust,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
105,Nov-17,West,Gujarat,Danta Taluka Adivasi Sarvangi Vikash Sangh,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
104,Oct-17,West,Gujarat,Bahujan Samajik Trust (BST),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
103,Oct-17,West,Chattishgarh,Paras Swayam Sevi Sanstha,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
102,Oct-17,South,Tamil Nadu,Tamil Nadu Samakalvi Vazhurimai Iyakkam - TNSKVI [TAFRE renamed] - thru SPT,Network/Alliance,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
101,Oct-17,South,Karnataka,Bangalore Oniyavara Seva Coota(BOSCO),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
100,Oct-17,South,Andhra Pradesh,Society for Rural Agriculturalists and Mass Awareness (SRAMA),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
99,Oct-17,North,Uttar Pradesh,Voice Of People through ERS (VOP thru ERS),Network/Alliance,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
98,Oct-17,North,Uttar Pradesh,Kriti Shodh Sansthan (KSS),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
97,Oct-17,North,Uttar Pradesh,Jan Mitra Nyas - JMN,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
96,Oct-17,North,Uttar Pradesh,Dr. Sambhunath Singh Research Foundation (SRF),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
95,Oct-17,North,Madhya Pradesh,Madhya Pradesh Lok Sangarsh Sajha Manch (MPLSSM) through VSS,Network/Alliance,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
94,Oct-17,North,Madhya Pradesh,Gramin Vikas Samiti (GVS),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
93,Oct-17,North,Haryana,Peoples Action for People in Need (PAPN),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
92,Nov-17,North,Haryana,Nayi Duniya Welfare Society,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
91,Oct-17,North,Delhi,Alliance for People's Right (APR) through Matrisudha,Network/Alliance,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
90,Oct-17,East,Odisha,Society for Promotion of Rural Education and Development (SPREAD),Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
89,Oct-17,East,Odisha,Palli Alok Pathagar,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
88,Oct-17,East,Odisha,Chale Chalo,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
87,Oct-17,East,Manipur,Manipur Alliance for Child Rights - through Wide Angle (MACR),Network/Alliance,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
86,Oct-17,East,Jharkhand,Strengthening Child Protection Mechanism in Jharkhand through Bal Sakha,Resource Orgs,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
85,Oct-17,East,Jharkhand,Jago Foundation,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
84,Oct-17,East,Bihar,Samagra Seva,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
83,Oct-17,East,Bihar,Bihar Bal Awaz Manch (BBAM) through CHARDS,Network/Alliance,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
82,Oct-17,East,Assam,Gramya Vikash Manch,Implementing,Jan-16 - Sep-17,No Grant,N/A,N/A,Jan-16 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
81,Oct-17,North,Madhya Pradesh,Vikas Samvad Samity (VSS),Implementing,Jan-16 - Dec-17,No Grant,N/A,N/A,Jan-16 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
80,Oct-17,West,Maharashtra,Vanchit Vikas Sanstha (VVS),Implementing,Jan-17 - Jun-18,No Grant,N/A,N/A,Jan-17 - Jun-18,Not-Available,N,N,N,N,N,N,N/A
79,Oct-17,West,Gujarat,Samata Charitable Trust (SCT),Implementing,Jan-17 - Jun-18,No Grant,N/A,N/A,Jan-17 - Jun-18,Not-Available,N,N,N,N,N,N,N/A
78,Oct-17,West,Chattishgarh,Navadhar Samajik Evam Sanskrutik Vikas Manch(NSESVM),Implementing,Jan-17 - Jun-18,No Grant,N/A,N/A,Jan-17 - Jun-18,Not-Available,N,N,N,N,N,N,N/A
77,Oct-17,South,Tamil Nadu,Salem People's Trust (SPT),Implementing,Jan-17 - Jun-18,No Grant,N/A,N/A,Jan-17 - Jun-18,Not-Available,N,N,N,N,N,N,N/A
76,Oct-17,South,Karnataka,PEOPLE (Association for Social Economical Educational Cultural Health and Environment Development),Implementing,Jan-17 - Jun-18,No Grant,N/A,N/A,Jan-17 - Jun-18,Not-Available,N,N,N,N,N,N,N/A
75,Oct-17,East,Jharkhand,CREJ Jan Mukti Andolan - thru Jago Foundation,Network/Alliance,Jan-17 - Jun-18,No Grant,N/A,N/A,Jan-17 - Jun-18,Not-Available,N,N,N,N,N,N,N/A
74,Oct-17,East,Bihar,Coalition for Child Rights to Protection (CCRP) Bihar - thru Bal Sakha,Network/Alliance,Jan-17 - Jun-18,No Grant,N/A,N/A,Jan-17 - Jun-18,Not-Available,N,N,N,N,N,N,N/A
73,Oct-17,East,Odisha,Association for Development and Health Action in Rural areas (ADHAR),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
72,Oct-17,West,Maharashtra,Kalapandhari Magasvargiya and Adivasi Gramin Vikas Sansthan (KMAGVS),Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
71,Oct-17,West,Chattishgarh,Gram Mitra Samaj Sevi Sanstha (GMSSS),Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
70,Oct-17,South,Karnataka,Samajika Parivartana Jana Andolana [SPJA] - thru Margadarshi,Network/Alliance,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
69,Oct-17,South,Andhra Pradesh,SNEHA,Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
68,Oct-17,South,Andhra Pradesh,Sanghamitra Service Society(SSS),Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
67,Oct-17,South,Andhra Pradesh,Pragathi,Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
66,Oct-17,North,Uttar Pradesh,QIC & AC/ Mehfooz UP through Doaba Vikas Evam Utthan Samiti,Network/Alliance,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
65,Oct-17,North,Rajasthan,Mahila Jan Adhikar Samiti (MJAS),Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
64,Oct-17,North,Madhya Pradesh,Mr. Anandilal,Individual Fellow,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
